WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Estimates Start After
912,AZE,NGDPDPC,Azerbaijan,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,159.971,174.875,297.162,316.227,411.14,508.043,543.344,576.005,656.386,674.783,760.812,879.863,1039.818,1571.292,2458.421,3818.274,5578.556,4963.769,5880.806,7242.806,7545.873,7926.094,7939.169,5300.136,3897.707,4217.653,4759.796,4813.67,4124.856,4403.775,4574.509,4747.266,4923.148,5104.885,2018
313,BHS,NGDPDPC,The Bahamas,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",12289.314,12493.753,13746.78,14958.645,15627.015,16797.762,17850.61,19326.111,19683.611,21814.311,20456.262,19767.718,19417.219,18979.009,19660.92,20271.252,20974.536,21951.759,23300.801,25780.476,26669.435,27060.507,28477.061,28043.46,28239.074,30269.034,30908.205,31894.394,31248.603,29296.493,29303.257,28906.973,30433.05,29669.944,30850.414,32154.952,32390.978,33543.001,34583.829,35664.025,30026.735,31531.633,33604.152,35278.143,36391.595,37249.812,2018
419,BHR,NGDPDPC,Bahrain,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",10189.612,11061.394,11221.699,11117.659,11163.436,10182.368,7695.805,8049.364,9602.789,9668.043,10179.632,10252.365,10536.823,11290.27,11777.073,12143.091,12298.65,12422.116,11565.971,12210.221,14214.58,13894.343,13501.551,14486.061,15963.978,17966.224,19267.567,20908.338,23236.055,19465.292,20827.719,24080.43,25434.451,25965.311,25398.315,22659.374,22641.276,24427.584,25419.503,25997.583,22877.592,23710.381,24382.648,25060.39,25794.618,26618.335,2019
513,BGD,NGDPDPC,Bangladesh,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,263.707,240.41,226.776,247.749,259.231,259.557,276.659,289.938,308.159,324.355,327.796,326.581,322.465,335.572,366.809,384.188,391.653,401.303,408.632,410.532,404.529,406.98,431.853,464.942,485.282,495.723,543.619,619.248,685.456,762.804,841.315,861.721,958.05,1092.715,1220.759,1370.772,1530.119,1661.875,1816.035,1887.974,1989.849,2168.333,2348.818,2544.325,2756.106,2013
316,BRB,NGDPDPC,Barbados,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4036.509,4427.056,4611.693,4882.788,5308.313,5539.558,6062.784,6653.718,7052.007,7776.714,7772.174,7777.866,7464.866,7886.782,8194.382,8414.115,8938.565,9412.367,10573.109,11039.097,11337.027,11284.369,11442.562,11788.654,12612.206,13939.669,15334.01,16925.611,17254.227,16036.404,16203.257,16599.012,16371.952,16556.104,16572.311,16589.45,16947.632,17423.251,17758.083,18139.481,16082.47,17471.578,18532.271,19325.905,20153.526,21016.589,2019
913,BLR,NGDPDPC,Belarus,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1210.104,1076.142,1481.461,1000.204,1375.754,1341.854,1452.41,1165.601,1277.052,1247.469,1480.153,1811.855,2370.274,3115.513,3838.293,4726.479,6366.189,5345.325,6023.149,6472.739,6938.067,7977.147,8316.012,5941.24,5022.472,5757.286,6322.317,6658.055,6133.88,6513.122,6845.429,7133.755,7375.689,7681.4,2019
124,BEL,NGDPDPC,Belgium,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",12529.348,10366.108,9128.584,8626.16,8244.846,8568.653,11873.806,14740.456,16008.638,16098.158,20119.935,20563.729,22823.029,21723.624,23624.467,28458.469,27535.287,24878.749,25399.222,25309.057,23136.511,23067.163,25044.331,30707.665,35497.552,36945.499,38841.785,44496.791,48493.137,44892.228,44448.17,47564.381,44824.163,46848.612,47897.037,41147.261,42090.681,44364.302,47631.448,46236.67,43813.77,50050.955,52306.484,54216.337,55822.929,57306.953,2019
339,BLZ,NGDPDPC,Belize,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1148.322,1193.866,1171.019,1200.888,1304.507,1258.896,1332.848,1518.912,1759.542,1977.229,2180.352,2292.375,2604.217,2731.016,2752.909,2864.39,2889.116,2844.845,2888.857,3014.677,3331.421,3390.768,3522.4,3651.042,3804.052,3885.888,4157.609,4255.803,4404.502,4180.852,4270.945,4398.888,4468.708,4516.12,4633.066,4680.257,4696.43,4734.965,4700.925,4497.992,3733.975,3967.916,4161.546,4253.702,4344.221,4439.124,2019
638,BEN,NGDPDPC,Benin,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",633.148,413.922,397.573,340.867,352.495,370.342,462.434,535.192,544.339,491.147,580.414,573.656,615.86,579.433,389.725,506.863,533.492,497.342,519.561,552.37,512.9,518.071,574.524,711.107,798.382,823.24,856.1,966.317,1125.303,1087.577,1037.381,1130.077,1145.876,1251.246,1291.759,1076.907,1086.965,1136.142,1240.775,1218.207,1258.92,1400.46,1496.658,1595.358,1694.896,1798.53,2017
514,BTN,NGDPDPC,Bhutan,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",301.912,317.384,325.479,343.169,346.705,349.039,382.259,447.284,496.565,483.64,514.626,446.274,442.838,470.84,484.426,569.737,594.213,654.919,701.797,716.174,758.308,767.831,813.421,950.504,1059.205,1215.288,1293.194,1563.069,1936.306,1797.535,2097.54,2511.435,2592.37,2609.758,2546.857,2784.445,2876.21,3157.114,3413.851,3356.779,3431.367,3446.528,3680.055,3951.92,4288.176,4557.827,2015
